Words,Count,Polarity
helped,9,Positive
innovative,1,Positive
leading,2,Positive
ignorant,1,Negative
scary,2,Negative
attack,4,Negative
disadvantaged,21,Negative
hard,4,Negative
clear,1,Positive
glad,1,Positive
atrocities,1,Negative
mindless,1,Negative
breakdown,1,Negative
hell,4,Negative
slap,1,Negative
qualified,1,Positive
right,9,Positive
exciting,1,Positive
unlimited,1,Positive
lead,2,Positive
great,15,Positive
ethical,1,Positive
gain,3,Positive
mad,2,Negative
confused,1,Negative
slut,1,Negative
poor,4,Negative
hedge,1,Negative
hated,1,Negative
relief,8,Positive
comfy,2,Positive
variety,2,Positive
lacking,1,Negative
pathetic,1,Negative
improvement,1,Positive
concerns,2,Negative
solid,1,Positive
conservative,1,Negative
luck,1,Positive
stuck,18,Negative
excited,21,Positive
fall,15,Negative
progressive,1,Positive
commitment,14,Positive
talent,1,Positive
lucky,2,Positive
critical,2,Negative
uncertain,1,Negative
struggled,4,Negative
elite,1,Positive
proud,2,Positive
suitable,1,Positive
easier,1,Positive
win,2,Positive
miracle,1,Positive
expel,1,Negative
losing,5,Negative
significant,2,Positive
strict,1,Negative
encourage,1,Positive
liberty,1,Positive
complaining,1,Negative
poverty,1,Negative
survival,1,Positive
like,24,Positive
guidance,3,Positive
accomplish,1,Positive
insane,2,Negative
worry,20,Negative
supported,3,Positive
proper,1,Positive
willing,1,Positive
brave,1,Positive
missed,1,Negative
strong,1,Positive
regrettably,1,Negative
excellent,2,Positive
brutal,1,Negative
enough,2,Positive
bent,2,Negative
interesting,2,Positive
progress,1,Positive
freedom,2,Positive
applaud,1,Positive
dedicated,1,Positive
ready,1,Positive
shameful,1,Negative
good,12,Positive
safe,3,Positive
wisdom,2,Positive
ridiculous,1,Negative
easy,1,Positive
properly,1,Positive
kill,2,Negative
pointless,1,Negative
doubt,1,Negative
important,5,Positive
failing,1,Negative
awarded,3,Positive
secure,1,Positive
hilarious,1,Positive
unaffordable,1,Negative
worst,3,Negative
knowledgeable,1,Positive
protect,2,Positive
struggling,2,Negative
insult,1,Negative
deaf,2,Negative
amazing,4,Positive
problem,1,Negative
futility,1,Negative
advanced,3,Positive
achievement,2,Positive
available,4,Positive
bad,3,Negative
wonder,3,Positive
harmonious,1,Positive
inspirational,2,Positive
resigned,2,Negative
infection,2,Negative
calm,2,Positive
supporting,1,Positive
worth,1,Positive
ideal,1,Positive
supports,3,Positive
thrive,1,Positive
inequalities,1,Negative
disaster,1,Negative
disruption,1,Negative
pampered,1,Positive
wellbeing,1,Positive
challenging,4,Negative
irrelevance,1,Negative
suppression,1,Negative
issues,3,Negative
spirited,2,Positive
free,23,Positive
fail,4,Negative
stealing,1,Negative
work,12,Positive
best,9,Positive
unemployed,1,Negative
wrong,1,Negative
gaining,1,Positive
death,1,Negative
issue,4,Negative
happier,1,Positive
happy,4,Positive
better,4,Positive
accessible,1,Positive
goodness,1,Positive
valuable,1,Positive
awful,1,Negative
brilliant,2,Positive
trump,2,Positive
unfortunately,1,Negative
failed,1,Negative
works,1,Positive
vice,2,Negative
posh,1,Positive
sincerely,1,Positive
dead,2,Negative
wonderful,3,Positive
privileged,1,Positive
skill,2,Positive
humor,1,Positive
affordable,1,Positive
well,2,Positive
educated,2,Positive
concern,2,Negative
merit,1,Positive
smart,2,Positive
viper,1,Negative
rich,3,Positive
debt,2,Negative
forbidden,1,Negative
easing,1,Positive
rhetoric,1,Negative
poorly,2,Negative
winner,1,Positive
worked,1,Positive
lying,1,Negative
thank,9,Positive
fantastic,1,Positive
warned,1,Negative
stolen,1,Negative
pretty,1,Positive
bitch,1,Negative
protection,1,Positive
worn,1,Negative
congratulations,2,Positive
humour,1,Positive
helping,2,Positive
racist,1,Negative
bright,1,Positive
restricted,1,Negative
recommend,1,Positive
positive,1,Positive
virus,3,Negative
top,2,Positive
proven,1,Positive
dismal,1,Negative
waste,2,Negative
shortage,2,Negative
reliable,1,Positive
ignorance,2,Negative
vibrant,1,Positive
limited,1,Negative
stupid,1,Negative
drain,1,Negative
fraud,1,Negative
biased,1,Negative
struggle,4,Negative
boycott,1,Negative
idiot,1,Negative
support,8,Positive
seriousness,1,Negative
spoils,2,Negative
afford,2,Positive
hate,3,Negative
